mat_age_bin,provider_age_bin,Age_difference
16-20,31-40,older
16-20,41-50,older
16-20,51-60,older
16-20,60+,older
21-25,31-40,older
21-25,41-50,older
21-25,51-60,older
21-25,60+,older
26-30,31-40,older
26-30,41-50,older
26-30,51-60,older
26-30,60+,older
31-35,31-40,same
31-35,41-50,older
31-35,51-60,older
31-35,60+,older
36-40,31-40,same
36-40,41-50,older
36-40,51-60,older
36-40,60+,older
41-45,31-40,younger
41-45,41-50,same
41-45,51-60,older
41-45,60+,older
46-50,31-40,younger
46-50,41-50,same
46-50,51-60,older
46-50,60+,older
